x,y,z,u,v,vres,p
15.0,0.0,0.0,0.9999764250447134,2.7743516885768296e-06,0.999976425048562,-1.1845817075984447e-05
15.0,0.1,0.0,0.9992313015411561,9.199004997430602e-05,0.9992313057754957,-3.242265539409498e-05
15.0,0.2,0.0,0.9994660117048734,0.00026434500076163027,0.9994660466626796,-5.0653357620641255e-05
15.0,0.30000000000000004,0.0,1.0003063308479612,0.0005031381794849338,1.0003064573832054,-6.521983822971117e-05
15.0,0.4,0.0,1.0015069343836385,0.0007894410241323993,1.0015072455232883,-7.705079918125935e-05
15.0,0.5,0.0,1.002919006576443,0.001121792455955734,1.002919633954084,-8.676240719158658e-05
15.0,0.6000000000000001,0.0,1.0043954535424966,0.0014864670866289137,1.0043965534992825,-9.413319195954495e-05
15.0,0.7000000000000001,0.0,1.0058478439876544,0.0018769500595815789,1.005849595215974,-9.957476649820974e-05
15.0,0.8,0.0,1.0072105076889584,0.0022850681497725736,1.007213099763649,-0.00010327784598914426
15.0,0.9,0.0,1.008448727742108,0.002704675461322528,1.0084523547267998,-0.0001056299201148116
15.0,1.0,0.0,1.0095464455701475,0.0031312254205659957,1.00955130148792,-0.00010694717847006206
15.0,1.1,0.0,1.0105033206852179,0.00356104852329282,1.0105095952945906,-0.00010753759627675024
15.0,1.2000000000000002,0.0,1.0113284782838152,0.003992005729618245,1.0113363570531828,-0.00010765304736772096
15.0,1.3,0.0,1.0120371266464465,0.004422537141823975,1.0120467897017245,-0.00010750426919072468
15.0,1.4000000000000001,0.0,1.012647234283237,0.004852112049030402,1.012658858694687,-0.00010724618178110128
15.0,1.5,0.0,1.0131774330040084,0.005280467570920552,1.0131911932534547,-0.00010699245152424389
15.0,1.6,0.0,1.0136455288818684,0.005707918147301689,1.0136615996237497,-0.00010681803880649691
15.0,1.7000000000000002,0.0,1.0140676537180275,0.006134837789341585,1.0140862106112511,-0.00010676897944779364
15.0,1.8,0.0,1.0144578412552814,0.006561863886740456,1.0144790632349165,-0.00010686869225428507
15.0,1.9000000000000001,0.0,1.0148279221006271,0.00698957903692149,1.0148519920117365,-0.00010712508948224961
15.0,2.0,0.0,1.0151876196173308,0.007418655592419156,1.0152147257970117,-0.00010753563527594583
15.0,2.1,0.0,1.015544763071731,0.007849668625797727,1.0155750996848794,-0.00010809156870815099
15.0,2.2,0.0,1.0159055560658488,0.008283203338288485,1.0159393241247259,-0.0001087810445635835
15.0,2.3000000000000003,0.0,1.0162748572887614,0.008719748502781885,1.016312264794263,-0.00010959105989130853
15.0,2.4000000000000004,0.0,1.0166564462385328,0.009159775386480983,1.0166977088414695,-0.0001105090034809919
15.0,2.5,0.0,1.0170532603403875,0.009603677728979342,1.017098601412338,-0.00011152320335492251
15.0,2.6,0.0,1.0174675953660426,0.010051827816883626,1.0175172464692759,-0.00011262349794134095
15.0,2.7,0.0,1.0179012703734898,0.01050454217443692,1.0179554713415804,-0.000113801122135105
15.0,2.8000000000000003,0.0,1.0183557576780813,0.010962119816148117,1.0184147569958728,-0.00011504880871001782
15.0,2.9000000000000004,0.0,1.0188322841657287,0.01142482191415336,1.018896339091532,-0.00011636045669279826
15.0,3.0,0.0,1.0193319069226086,0.011892896880475234,1.0194012838262916,-0.00011773106561623354
15.0,3.1,0.0,1.0198555697433545,0.012366567731529634,1.0199305442695599,-0.0001191564031990053
15.0,3.2,0.0,1.0204041432596016,0.012846047970037121,1.020485000639309,-0.0001206329143048404
15.0,3.3000000000000003,0.0,1.020978453769954,0.013331533362329543,1.0210654890085538,-0.00012215746306983624
15.0,3.4000000000000004,0.0,1.0215793025355344,0.01382321168761512,1.0216728206966992,-0.00012372726454394485
15.0,3.5,0.0,1.0222074789526565,0.014321257182574732,1.0223077953503217,-0.00012533970758130475
15.0,3.6,0.0,1.0228637684772783,0.014825836340867024,1.0229712089236653,-0.00012699231427527942
15.0,3.7,0.0,1.0235489574062429,0.015337104041188931,1.0236638583870084,-0.00012868262555333835
15.0,3.8000000000000003,0.0,1.0242638348102033,0.01585520685430988,1.024386543685779,-0.00013040817983468243
15.0,3.9000000000000004,0.0,1.0250091928503031,0.016380280253551965,1.0251400679950105,-0.0001321664402409193
15.0,4.0,0.0,1.0257858254710486,0.016912450357012644,1.025925236415597,-0.00013395478295190411
15.0,4.1000000000000005,0.0,1.0265945261673206,0.01745183182610341,1.026742853683819,-0.00013577044937459443
15.0,4.2,0.0,1.0274360846928896,0.017998528612952844,1.0275937208650536,-0.00013761053754746415
15.0,4.3,0.0,1.0283112830993142,0.018552632276884636,1.0284786313355077,-0.00013947196810375938
15.0,4.4,0.0,1.0292208909414307,0.01911422207802739,1.0293983659574755,-0.0001413514749507532
15.0,4.5,0.0,1.030165659861477,0.019683363522239573,1.030353687603136,-0.00014324557813235903
15.0,4.6000000000000005,0.0,1.0311463173985311,0.02026010799995988,1.0313453349197457,-0.0001451505720202212
15.0,4.7,0.0,1.0321635601339516,0.020844491425222746,1.0323740154087422,-0.0001470625010344132
15.0,4.800000000000001,0.0,1.0332180460399636,0.021436533532243562,1.0334403977165396,-0.000148977144693078
15.0,4.9,0.0,1.0343103860800635,0.022036236512074977,1.0345451031601793,-0.00015088999397715834
15.0,5.0,0.0,1.0354411349423607,0.02264358402780677,1.035688696389194,-0.00015279623337097735
15.0,5.1000000000000005,0.0,1.0366107809025156,0.02325853978032117,1.0368716751633424,-0.00015469071711476438
15.0,5.2,0.0,1.0378197346853215,0.023881046275636874,1.0380944591286143,-0.00015656794934275903
15.0,5.300000000000001,0.0,1.0390683172417425,0.02451102327653225,1.0393573774970999,-0.00015842206128684308
15.0,5.4,0.0,1.040356746226711,0.025148366350236952,1.0406606554249636,-0.00016024679278008952
15.0,5.5,0.0,1.0416851209088533,0.025792945199110167,1.0420043988126617,-0.00016203547488471626
15.0,5.6000000000000005,0.0,1.0430534050298168,0.026444602042578674,1.043388577051467,-0.00016378102062193455
15.0,5.7,0.0,1.0444614068543165,0.027103149890488967,1.0448130029541576,-0.00016547592377691957
15.0,5.800000000000001,0.0,1.0459087552352495,0.027768370887415864,1.04627730869951,-0.0001671122752027782
15.0,5.9,0.0,1.0473948696415034,0.028440014740595914,1.0477809157403981,-0.00016868180014520195
15.0,6.0,0.0,1.048918921231427,0.029117797259959728,1.0493229957618257,-0.00017017595726412038
15.0,6.1000000000000005,0.0,1.0504797801341308,0.02980139968149264,1.0509024178740993,-0.0001715860649814513
15.0,6.2,0.0,1.0520759416159937,0.030490468209033242,1.0525176747108742,-0.00017290346185960985
15.0,6.300000000000001,0.0,1.0537054201515454,0.031184614477009612,1.0541667764812286,-0.00017411977251424239
15.0,6.4,0.0,1.0553655952778092,0.03188341730117339,1.0558470968823495,-0.00017522724258806522
15.0,6.5,0.0,1.0570529857893327,0.0325864258286674,1.0575551474577722,-0.00017621912575879392
15.0,6.6000000000000005,0.0,1.0587629193445969,0.033293164420623134,1.05928624751586,-0.0001770900742852373
15.0,6.7,0.0,1.0604890523034103,0.034003139055171674,1.0610340444684094,-0.00017783641683073368
15.0,6.800000000000001,0.0,1.0622226797515555,0.034715844640806744,1.0627898245879568,-0.00017845611962321106
15.0,6.9,0.0,1.063951758847508,0.03543077147406625,1.0645415373398792,-0.00017894809442272822
